pair,design,observable,Nh,n,xmin,winner,w_PL,w_TPL,w_exp,w_logn,w_stexp,R_TPL_exp,p_TPL_exp,R_PL_exp,p_PL_exp,decades,alpha_TPL,alpha_PL,gap,PASS
bo-bo,sa,argmax,20,1523988,4.0,truncated_power_law,0.0,1.0,0.0,1.1126834880614656e-92,1.3405043663171581e-24,54.91823104760052,0.0,10.794718834546954,3.645767002653209e-27,1.295567099962479,1.8550190890143696,2.9493164062499995,1.0942973172356298,False
bib-bib,rs,argmax,3,70362,47.0,truncated_power_law,4.565306741370246e-54,1.0,0.0,1.1671071824414407e-24,5.168594483336424e-21,29.52548972189364,1.3556647996669732e-191,27.431077647450405,1.1685192737484736e-165,2.648671370402969,1.661855517918436,1.7979599744189207,0.13610445650048475,True
bib-bib,ra,argmax,3,62500,46.0,truncated_power_law,7.724484895079455e-72,1.0,0.0,5.906437879402699e-28,1.4982638104694025e-22,29.75548439036341,1.4727792994698e-194,26.927030106846864,1.0599886109386929e-159,2.7449898805445994,1.5945562175289165,1.7580722814984298,0.16351606396951324,True
bib-bib,ss,argmax,3,69438,47.0,truncated_power_law,1.0872575115507591e-69,1.0,0.0,3.9330139929448257e-31,5.958281907952758e-26,34.14429280256824,1.6251343546062736e-255,30.897461836132685,1.2920115104998595e-209,2.4309528895002397,1.616231524849352,1.7790122055634852,0.1627806807141332,True
bib-bib,sa,argmax,3,59176,47.0,truncated_power_law,5.191738655192874e-63,1.0,0.0,2.651326650466403e-26,1.016170614750869e-21,30.91682726656832,7.096700704332448e-210,28.25863544330941,1.1148433475140528e-175,2.53696117619308,1.6003136319875853,1.7521830836147028,0.1518694516271175,True
bib-bib,rs,argmax,6,68658,5.0,truncated_power_law,0.0,1.0,0.0,4.773745894333985e-120,1.0494026293938018e-96,76.51447925443064,0.0,71.46963518756591,0.0,3.166430113843283,1.4535168488080157,1.5713036309595525,0.11778678215153682,True
bib-bib,ra,argmax,6,60097,4.0,truncated_power_law,0.0,1.0,0.0,5.853592058595314e-135,5.38808474962743e-106,74.32923787351322,0.0,69.26798421268772,0.0,3.464638559095033,1.4176016277032575,1.5362632969358372,0.1186616692325797,True
bib-bib,ss,argmax,6,65097,4.0,truncated_power_law,5.933429097137627e-302,1.0,0.0,1.0113963186095356e-112,3.7709429076077996e-93,77.33647747176578,0.0,73.40733776746708,0.0,3.382692286787451,1.4612285398988063,1.5602406383054932,0.0990120984066869,True
bib-bib,sa,argmax,6,57257,3.0,truncated_power_law,0.0,1.0,0.0,6.695455983261567e-114,1.5853329305977072e-89,75.90799381308709,0.0,72.02092199806994,0.0,3.59035876921182,1.425486854564077,1.5240819908208736,0.0985951362567965,True
bib-bib,rs,argmax,15,148055,6.0,truncated_power_law,0.0,1.0,0.0,8.553213728580604e-178,2.101437517383267e-106,78.62642617422513,0.0,64.90125609419961,0.0,2.6223867390083027,1.4325568204764214,1.6697981514573086,0.23724133098088718,False
bib-bib,ra,argmax,15,135072,4.0,truncated_power_law,0.0,1.0,0.0,4.391361622274488e-215,3.5995922121199666e-127,91.04690603852484,0.0,76.9888205071152,0.0,2.79605370040254,1.3975262112891271,1.6103789598690672,0.21285274857994008,False
bib-bib,ss,argmax,15,148047,6.0,truncated_power_law,0.0,1.0,0.0,4.170688360669255e-170,2.700039675012431e-102,78.92237313980185,0.0,65.5601510200139,0.0,2.654978267196842,1.4392995653812863,1.6723467351974601,0.2330471698161738,False
bib-bib,sa,argmax,15,137661,4.0,truncated_power_law,0.0,1.0,0.0,2.9777849367747177e-221,1.2872758127802595e-131,91.198319657409,0.0,77.11263604891796,0.0,2.813747736307581,1.400382566783965,1.6135916853026018,0.21320911851863666,False
bib-bib,rs,argmax,20,211611,158.0,truncated_power_law,8.570614100666128e-43,0.9773897975772228,6.212150640328036e-53,0.0001237516901121819,0.022486450732665274,7.256809055646124,3.96328554947302e-13,0.8669865315596075,0.38594938929323697,1.0606978403536116,1.7849746317653528,2.922767064986304,1.137792433220951,False
bib-bib,ra,argmax,20,198741,135.0,truncated_power_law,8.033040895439498e-81,0.9602432041779853,5.449412592071723e-59,1.4226088320285803e-05,0.039742569733694416,7.506177552419849,6.087883389058427e-14,-1.5455166424546165,0.12222134654638671,1.1166569307465437,1.4857731382217936,2.731394331909355,1.2456211936875614,False
